,Name,Logo,Industry Type,Headquarters,No. of Locations,Highly Rated For,Critically Rated For,Rating,Review Count,Interview Count,Salaries Count,Job Count
405,Star Health & Allied Insurance,https://static.ambitionbox.com/alpha/company/photos/logos/star-health-and-allied-insurance.jpg,Insurance,Chennai ,287,[],"['Promotions / Appraisal', 'Company Culture', 'Work Satisfaction']",3.6,0,119,0,11
406,DBS Bank,https://static.ambitionbox.com/alpha/company/photos/logos/dbs-bank.jpg,Banking,Hyderabad / Secunderabad ,155,['Salary & Benefits'],"['Promotions / Appraisal', 'Work Satisfaction']",3.8,0,171,0,50
407,Extramarks Education,https://static.ambitionbox.com/alpha/company/photos/logos/extramarks-education-pvt-203306.jpg,EdTech,Noida ,105,[],"['Job Security', 'Promotions / Appraisal', 'Work Satisfaction']",3.4,0,167,0,17
408,Adani Power,https://static.ambitionbox.com/alpha/company/photos/logos/adani.jpg,Power,Mundra ,106,"['Job Security', 'Skill Development / Learning', 'Salary & Benefits']",[],3.9,0,247,0,0
409,Cloudnine Hospital,https://static.ambitionbox.com/alpha/company/photos/logos/cloudnine-hospital-9950.jpg,Healthcare,Bangalore / Bengaluru ,33,"['Company Culture', 'Skill Development / Learning', 'Work Life Balance']",[],4.4,0,329,0,0
410,Planet Spark,https://static.ambitionbox.com/alpha/company/photos/logos/planet-spark.jpg,EdTech,Gurgaon / Gurugram ,46,['Skill Development / Learning'],['Promotions / Appraisal'],3.7,0,444,0,79
411,Bharat Financial Inclusion,https://static.ambitionbox.com/alpha/company/photos/logos/bharat-financial-inclusion.jpg,NBFC,Hyderabad / Secunderabad ,396,"['Salary & Benefits', 'Job Security']",[],3.9,0,77,0,18
412,Cadila Pharmaceuticals,https://static.ambitionbox.com/alpha/company/photos/logos/cadila-pharmaceuticals.jpg,Pharma,Ahmedabad ,119,[],"['Job Security', 'Promotions / Appraisal', 'Company Culture']",3.5,0,125,0,20
413,Ninjacart,https://static.ambitionbox.com/alpha/company/photos/logos/ninjacart-155575.jpg,Internet,Bangalore / Bengaluru ,104,"['Company Culture', 'Skill Development / Learning', 'Salary & Benefits']",[],4.0,0,97,0,7
414,Indian Railways,https://static.ambitionbox.com/alpha/company/photos/logos/indian-railways.jpg,Railways,New Delhi ,219,"['Job Security', 'Company Culture', 'Work Life Balance']",[],4.1,0,90,0,0
415,Sobha,https://static.ambitionbox.com/alpha/company/photos/logos/sobha-group.jpg,Real Estate,Bangalore / Bengaluru ,36,['Job Security'],"['Promotions / Appraisal', 'Salary & Benefits', 'Work Life Balance']",3.8,0,142,0,59
416,GlaxoSmithKline Pharmaceuticals,https://static.ambitionbox.com/alpha/company/photos/logos/glaxosmithkline-pharmaceuticals.jpg,Pharma,Bangalore / Bengaluru ,193,"['Company Culture', 'Work Life Balance', 'Skill Development / Learning']",['Promotions / Appraisal'],4.1,0,106,0,18
417,Ola Electric Mobility,https://static.ambitionbox.com/alpha/company/photos/logos/ola-electric-mobility.jpg,Automobile,Bangalore / Bengaluru ,281,[],"['Job Security', 'Company Culture', 'Work Life Balance']",3.3,0,241,0,0
418,Bharti AXA Life Insurance,https://static.ambitionbox.com/alpha/company/photos/logos/bharti-axa-life-insurance.jpg,Insurance,Mumbai ,231,['Work Life Balance'],[],3.8,0,127,0,15
419,Hero FinCorp,https://static.ambitionbox.com/alpha/company/photos/logos/hero-fincorp.jpg,NBFC,New Delhi ,354,"['Company Culture', 'Work Life Balance', 'Work Satisfaction']",['Promotions / Appraisal'],4.0,0,94,0,16
420,Lodha Group,https://static.ambitionbox.com/alpha/company/photos/logos/lodha-group.jpg,Real Estate,Mumbai ,23,"['Company Culture', 'Work Life Balance', 'Job Security']",[],4.0,0,135,0,64
421,Kia Motors,https://static.ambitionbox.com/alpha/company/photos/logos/kia-motors.jpg,Automobile,Anantapur ,156,"['Job Security', 'Skill Development / Learning']",['Promotions / Appraisal'],3.9,0,138,0,12
422,RMSI,https://static.ambitionbox.com/alpha/company/photos/logos/rmsi.jpg,IT Services & Consulting,Hyderabad / Secunderabad ,19,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Work Satisfaction']",3.6,0,158,0,13
423,Ambuja Cements,https://static.ambitionbox.com/alpha/company/photos/logos/ambuja-cements.jpg,Building Material,Mumbai ,220,[],['Promotions / Appraisal'],3.9,0,118,0,0
424,HSBC Electronic Data Processing,https://static.ambitionbox.com/alpha/company/photos/logos/hsbc-electronic-data-processing.jpg,Banking,Bangalore / Bengaluru ,16,"['Job Security', 'Work Life Balance', 'Company Culture']","['Promotions / Appraisal', 'Salary & Benefits']",4.1,0,67,0,0
425,Exl India,https://static.ambitionbox.com/alpha/company/photos/logos/exl-india.jpg,Logistics,New Delhi ,33,['Job Security'],"['Promotions / Appraisal', 'Salary & Benefits', 'Work Satisfaction']",3.5,0,108,0,0
426,Force Motors,https://static.ambitionbox.com/alpha/company/photos/logos/force-motors.jpg,Automobile,Pune ,90,[],"['Promotions / Appraisal', 'Company Culture', 'Work Satisfaction']",3.6,0,124,0,3
427,Laurus Labs,https://static.ambitionbox.com/alpha/company/photos/logos/laurus-labs.jpg,Pharma,Visakhapatnam ,26,"['Job Security', 'Company Culture', 'Work Life Balance']",[],4.2,0,118,0,4
428,Reliance Trends,https://static.ambitionbox.com/alpha/company/photos/logos/reliance-trends.jpg,Retail,Bangalore / Bengaluru ,352,"['Job Security', 'Skill Development / Learning', 'Company Culture']",[],4.2,0,107,0,0
429,Panasonic Life Solutions India,https://static.ambitionbox.com/alpha/company/photos/logos/panasonic-life-solutions.jpg,Consumer Electronics & Appliances,Haridwar ,142,"['Job Security', 'Work Life Balance', 'Company Culture']",['Promotions / Appraisal'],4.0,0,77,0,19
430,ValueLabs,https://static.ambitionbox.com/alpha/company/photos/logos/valuelabs.jpg,IT Services & Consulting,Hyderabad / Secunderabad ,16,[],"['Skill Development / Learning', 'Work Satisfaction', 'Job Security']",3.7,0,195,0,99
431,Meesho,https://static.ambitionbox.com/alpha/company/photos/logos/meesho.jpg,Internet,Bangalore / Bengaluru ,107,['Salary & Benefits'],"['Job Security', 'Promotions / Appraisal']",3.7,0,350,0,155
432,Apollo Pharmacy,https://static.ambitionbox.com/alpha/company/photos/logos/apollo-pharmacy.jpg,Hyderabad / Secunderabad +235 other locations,Bangalore / Bengaluru ,107,"['Job Security', 'Skill Development / Learning']",['Promotions / Appraisal'],3.8,0,135,0,32
433,Bank of Baroda,https://static.ambitionbox.com/alpha/company/photos/logos/bank-of-baroda.jpg,Banking,Mumbai ,271,['Job Security'],"['Promotions / Appraisal', 'Company Culture', 'Work Satisfaction']",3.6,0,97,0,0
434,CAMS,https://static.ambitionbox.com/alpha/company/photos/logos/cams.jpg,Financial Services,Chennai ,95,['Job Security'],"['Promotions / Appraisal', 'Salary & Benefits']",3.7,0,121,0,12
435,Coromandel International,https://static.ambitionbox.com/alpha/company/photos/logos/coromandel-international.jpg,Agro Chemicals,Visakhapatnam ,160,"['Job Security', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.1,0,103,0,21
436,Senco Gold,https://static.ambitionbox.com/alpha/company/photos/logos/senco-gold.jpg,Jewellery,Kolkata ,70,"['Job Security', 'Skill Development / Learning', 'Company Culture']",[],4.5,0,567,0,7
437,Aditya Birla Capital,https://static.ambitionbox.com/alpha/company/photos/logos/aditya-birla-capital-limited-wealth-management.jpg,Financial Services,Mumbai ,233,"['Company Culture', 'Work Life Balance', 'Job Security']",['Promotions / Appraisal'],3.9,0,159,0,1
438,Allstate,https://static.ambitionbox.com/alpha/company/photos/logos/allstate-solutions.jpg,Insurance,Pune ,12,"['Work Life Balance', 'Company Culture']",['Promotions / Appraisal'],3.8,0,139,0,21
439,Poonawalla Fincorp,https://static.ambitionbox.com/alpha/company/photos/logos/poonawalla-fincorp.jpg,NBFC,Pune ,251,[],"['Promotions / Appraisal', 'Job Security']",3.8,0,64,0,9
440,Microsoft Corporation,https://static.ambitionbox.com/alpha/company/photos/logos/microsoft-corporation.jpg,Software Product,Bangalore / Bengaluru ,40,"['Company Culture', 'Work Life Balance', 'Skill Development / Learning']",['Promotions / Appraisal'],4.0,0,566,0,0
441,Future Retail,https://static.ambitionbox.com/alpha/company/photos/logos/future-retail.jpg,Retail,Mumbai ,196,"['Skill Development / Learning', 'Company Culture', 'Work Satisfaction']",[],4.3,0,54,0,0
442,Sify Technologies,https://static.ambitionbox.com/alpha/company/photos/logos/sify-technologies.jpg,IT Services & Consulting,Chennai ,117,"['Skill Development / Learning', 'Job Security']","['Promotions / Appraisal', 'Salary & Benefits']",3.8,0,126,0,26
443,TCE,https://static.ambitionbox.com/alpha/company/photos/logos/tce.jpg,Engineering & Construction,Mumbai ,113,"['Work Life Balance', 'Job Security']","['Promotions / Appraisal', 'Salary & Benefits']",3.8,0,258,0,305
444,Cargill,https://static.ambitionbox.com/alpha/company/photos/logos/cargill.jpg,Food Processing,Bangalore / Bengaluru ,103,"['Company Culture', 'Work Life Balance', 'Salary & Benefits']",['Promotions / Appraisal'],4.0,0,97,0,178
445,Adani Wilmar,https://static.ambitionbox.com/alpha/company/photos/logos/adani-wilmar.jpg,FMCG,Ahmedabad ,173,"['Job Security', 'Company Culture', 'Work Life Balance']",[],4.1,0,113,0,9
446,Delphi TVS,https://static.ambitionbox.com/alpha/company/photos/logos/delphi-tvs.jpg,Auto Components,Chennai ,49,['Skill Development / Learning'],"['Promotions / Appraisal', 'Salary & Benefits']",3.9,0,89,0,0
447,SBI Securities,https://static.ambitionbox.com/alpha/company/photos/logos/sbicap-securities.jpg,Financial Services,Mumbai ,266,[],['Promotions / Appraisal'],3.8,0,156,0,67
448,Brakes India,https://static.ambitionbox.com/alpha/company/photos/logos/brakes-india.jpg,Auto Components,Chennai ,79,"['Job Security', 'Skill Development / Learning', 'Work Life Balance']",['Promotions / Appraisal'],4.0,0,74,0,1
449,Future Generali India Life Insurance,https://static.ambitionbox.com/alpha/company/photos/logos/future-generali.jpg,Insurance,Mumbai ,181,[],"['Promotions / Appraisal', 'Work Satisfaction', 'Job Security']",3.6,0,102,0,149
450,Bharat Petroleum,https://static.ambitionbox.com/alpha/company/photos/logos/bharat-petroleum-corporation.jpg,Oil & Gas,Mumbai ,236,"['Skill Development / Learning', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.1,0,153,0,0
451,SAP,https://static.ambitionbox.com/alpha/company/photos/logos/sap.jpg,Software Product,Bangalore / Bengaluru ,50,"['Work Life Balance', 'Company Culture', 'Job Security']",[],4.2,0,289,0,246
452,Physicswallah,https://static.ambitionbox.com/alpha/company/photos/logos/physicswallah.jpg,EdTech,Noida ,92,[],"['Job Security', 'Promotions / Appraisal']",3.8,0,218,0,29
453,Star Union Dai-ichi Life Insurance,https://static.ambitionbox.com/alpha/company/photos/logos/star-union-dai-ichi-life-insurance-coltd.jpg,Insurance,Mumbai ,272,['Work Life Balance'],[],3.9,0,93,0,41
454,SBI General Insurance,https://static.ambitionbox.com/alpha/company/photos/logos/sbi-general-insurance.jpg,Insurance,Mumbai ,246,[],"['Promotions / Appraisal', 'Work Satisfaction']",3.7,0,107,0,8
455,ITC Hotels,https://static.ambitionbox.com/alpha/company/photos/logos/itc-hotels.jpg,Bangalore / Bengaluru +80 other locations,Mumbai ,246,"['Job Security', 'Skill Development / Learning', 'Company Culture']",[],4.1,0,88,0,0
456,Mercedes-Benz Research and Development India,https://static.ambitionbox.com/alpha/company/photos/logos/mercedes-benz-india.jpg,IT Services & Consulting,Bangalore / Bengaluru ,46,"['Work Life Balance', 'Job Security', 'Company Culture']",['Promotions / Appraisal'],3.8,0,187,0,2
457,CitiusTech,https://static.ambitionbox.com/alpha/company/photos/logos/citiustech-it-solutions.jpg,IT Services & Consulting,Mumbai ,16,[],"['Promotions / Appraisal', 'Job Security', 'Work Satisfaction']",3.4,0,280,0,10
458,Google,https://static.ambitionbox.com/alpha/company/photos/logos/google.jpg,Software Product,Bangalore / Bengaluru ,79,"['Company Culture', 'Work Life Balance', 'Salary & Benefits']",[],4.4,0,872,0,373
459,Spark Minda,https://static.ambitionbox.com/alpha/company/photos/logos/spark-minda.jpg,Auto Components,Pune ,62,[],['Promotions / Appraisal'],3.9,0,130,0,12
460,Tata Motors Finance,https://static.ambitionbox.com/alpha/company/photos/logos/tata_motors.jpg,NBFC,Mumbai ,238,"['Company Culture', 'Job Security', 'Skill Development / Learning']",['Promotions / Appraisal'],4.1,0,67,0,2
461,Adani Group,https://static.ambitionbox.com/alpha/company/photos/logos/adani-group.jpg,Power,Ahmedabad ,157,"['Job Security', 'Skill Development / Learning', 'Salary & Benefits']",[],3.9,0,212,0,114
462,YASH Technologies,https://static.ambitionbox.com/alpha/company/photos/logos/yash-technologies.jpg,IT Services & Consulting,Hyderabad / Secunderabad ,28,"['Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],3.8,0,152,0,430
463,American Broadcasting Company,https://static.ambitionbox.com/alpha/company/photos/logos/american-broadcasting-company.jpg,Mumbai +100 other locations,Hyderabad / Secunderabad ,28,"['Work Life Balance', 'Company Culture', 'Work Satisfaction']",[],4.0,0,554,0,18
464,Dhani Loans and Services,https://static.ambitionbox.com/alpha/company/photos/logos/dhani-loans-and-services.jpg,NBFC,Gurgaon / Gurugram ,180,[],"['Job Security', 'Promotions / Appraisal']",3.8,0,70,0,13
465,Power Mech Projects,https://static.ambitionbox.com/alpha/company/photos/logos/power-mech-projects.jpg,Engineering & Construction,Hyderabad / Secunderabad ,127,['Job Security'],['Promotions / Appraisal'],3.9,0,101,0,7
466,KENT RO Systems,https://static.ambitionbox.com/alpha/company/photos/logos/kent-ro-systems.jpg,Consumer Electronics & Appliances,Noida ,141,"['Work Life Balance', 'Company Culture', 'Work Satisfaction']",[],4.0,0,84,0,14
467,Henry Harvin Education,https://static.ambitionbox.com/alpha/company/photos/logos/henry-harvin-education.jpg,Noida +27 other locations,Noida ,141,[],[],3.7,0,14,771,32
468,Saint-Gobain,https://static.ambitionbox.com/alpha/company/photos/logos/saint-gobain.jpg,Engineering & Construction,Mumbai ,94,"['Job Security', 'Company Culture', 'Work Life Balance']","['Promotions / Appraisal', 'Salary & Benefits']",4.0,0,176,0,40
469,Crisil,https://static.ambitionbox.com/alpha/company/photos/logos/crisil.jpg,Analytics & KPO,Mumbai ,65,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Work Satisfaction']",3.6,0,194,0,482
470,Kotak Securities,https://static.ambitionbox.com/alpha/company/photos/logos/kotak-securities.jpg,Financial Services,Mumbai ,126,[],"['Promotions / Appraisal', 'Skill Development / Learning', 'Work Satisfaction']",3.6,0,118,0,8
471,AECOM,https://static.ambitionbox.com/alpha/company/photos/logos/aecom.jpg,Engineering & Construction,Gurgaon / Gurugram ,115,"['Company Culture', 'Work Life Balance', 'Work Satisfaction']",[],4.2,0,122,0,136
472,Gabriel India,https://static.ambitionbox.com/alpha/company/photos/logos/gabriel-india.jpg,Auto Components,Pune ,44,"['Job Security', 'Skill Development / Learning', 'Company Culture']",[],4.2,0,104,0,1
473,L&T Energy Hydrocarbon,https://static.ambitionbox.com/alpha/company/photos/logos/l-and-t-hydrocarbon-engineering.jpg,Engineering & Construction,Vadodara ,77,"['Job Security', 'Skill Development / Learning']","['Promotions / Appraisal', 'Work Life Balance', 'Company Culture']",3.9,0,98,0,0
474,Team Computers,https://static.ambitionbox.com/alpha/company/photos/logos/team-computers.jpg,IT Services & Consulting,New Delhi ,90,[],"['Promotions / Appraisal', 'Work Satisfaction', 'Job Security']",3.6,0,116,0,158
475,JK Tyres,https://static.ambitionbox.com/alpha/company/photos/logos/jk-tyres.jpg,Auto Components,Chennai ,133,[],"['Promotions / Appraisal', 'Company Culture', 'Salary & Benefits']",3.6,0,98,0,3
476,Novartis,https://static.ambitionbox.com/alpha/company/photos/logos/novartis-india.jpg,Pharma,Hyderabad / Secunderabad ,72,"['Work Life Balance', 'Company Culture', 'Salary & Benefits']",['Promotions / Appraisal'],4.1,0,148,0,170
477,IDBI Bank,https://static.ambitionbox.com/alpha/company/photos/logos/idbi-bank.jpg,Banking,Mumbai ,305,['Job Security'],"['Promotions / Appraisal', 'Work Satisfaction', 'Company Culture']",3.5,0,71,0,0
478,BNP Paribas,https://static.ambitionbox.com/alpha/company/photos/logos/bnp_paribas.jpg,Financial Services,Mumbai ,25,"['Job Security', 'Work Life Balance']","['Promotions / Appraisal', 'Salary & Benefits']",3.8,0,186,0,40
479,NCR Corporation,https://static.ambitionbox.com/alpha/company/photos/logos/ncr.jpg,IT Services & Consulting,Hyderabad / Secunderabad ,86,['Work Life Balance'],"['Promotions / Appraisal', 'Skill Development / Learning', 'Work Satisfaction']",3.7,0,132,0,217
480,Parle Products,https://static.ambitionbox.com/alpha/company/photos/logos/parle-products.jpg,FMCG,Mumbai ,219,['Salary & Benefits'],"['Company Culture', 'Promotions / Appraisal']",3.9,0,97,0,12
481,Sterling & Wilson,https://static.ambitionbox.com/alpha/company/photos/logos/sterling-and-wilson.jpg,Engineering & Construction,Mumbai ,109,"['Company Culture', 'Work Life Balance', 'Skill Development / Learning']",[],4.1,0,67,0,18
482,TaskUs,https://static.ambitionbox.com/alpha/company/photos/logos/taskus.jpg,BPO,Indore ,29,[],"['Promotions / Appraisal', 'Job Security', 'Skill Development / Learning']",3.3,0,180,0,101
483,Lucas-TVS,https://static.ambitionbox.com/alpha/company/photos/logos/lucas-tvs.jpg,Auto Components,Chennai ,69,"['Job Security', 'Skill Development / Learning']",['Promotions / Appraisal'],3.9,0,77,0,3
484,Reliance General Insurance,https://static.ambitionbox.com/alpha/company/photos/logos/reliance-general-insurance.jpg,Insurance,Mumbai ,181,[],"['Promotions / Appraisal', 'Work Satisfaction', 'Company Culture']",3.7,0,83,0,4
485,Microland,https://static.ambitionbox.com/alpha/company/photos/logos/microland.jpg,IT Services & Consulting,Bangalore / Bengaluru ,43,[],"['Promotions / Appraisal', 'Work Satisfaction', 'Salary & Benefits']",3.4,0,136,0,403
486,Uflex,https://static.ambitionbox.com/alpha/company/photos/logos/uflex.jpg,Packaging,Noida ,44,['Job Security'],"['Promotions / Appraisal', 'Company Culture']",3.8,0,113,0,60
487,Paisabazaar.com,https://static.ambitionbox.com/alpha/company/photos/logos/paisabazaar-dot-com-168370.jpg,Internet,Gurgaon / Gurugram ,26,[],"['Job Security', 'Promotions / Appraisal', 'Work Life Balance']",3.4,0,146,0,45
488,Thomson Reuters,https://static.ambitionbox.com/alpha/company/photos/logos/thomson-reuters.jpg,Software Product,Bangalore / Bengaluru ,24,"['Work Life Balance', 'Company Culture', 'Job Security']",['Promotions / Appraisal'],4.1,0,120,0,158
489,Kalyan Jewellers,https://static.ambitionbox.com/alpha/company/photos/logos/kalyan-jewellers.jpg,Jewellery,Thrissur ,134,"['Company Culture', 'Work Life Balance', 'Work Satisfaction']",[],4.6,0,61,0,16
490,FirstCry,https://static.ambitionbox.com/alpha/company/photos/logos/firstcry.jpg,Internet,Pune ,175,[],"['Promotions / Appraisal', 'Company Culture', 'Work Satisfaction']",3.6,0,181,0,25
491,SGS,https://static.ambitionbox.com/alpha/company/photos/logos/sgs-india.jpg,Other,Mumbai ,123,['Work Life Balance'],"['Promotions / Appraisal', 'Salary & Benefits']",3.9,0,99,0,77
492,Daikin,https://static.ambitionbox.com/alpha/company/photos/logos/daikin.jpg,Consumer Electronics & Appliances,Neemrana ,98,"['Job Security', 'Work Life Balance', 'Company Culture']",['Promotions / Appraisal'],4.1,0,158,0,8
493,Morgan Stanley,https://static.ambitionbox.com/alpha/company/photos/logos/morgan_stanley.jpg,Financial Services,Mumbai ,17,[],"['Promotions / Appraisal', 'Job Security', 'Work Satisfaction']",3.7,0,299,0,4
494,Hindustan Aeronautics,https://static.ambitionbox.com/alpha/company/photos/logos/hal.jpg,Defence & Aerospace,Bangalore / Bengaluru ,51,"['Work Life Balance', 'Job Security', 'Skill Development / Learning']",[],4.3,0,75,0,0
495,Infinite Computer Solutions,https://static.ambitionbox.com/alpha/company/photos/logos/infinite-computer-solutions.jpg,IT Services & Consulting,Bangalore / Bengaluru ,35,[],"['Promotions / Appraisal', 'Job Security', 'Skill Development / Learning']",3.4,0,151,0,22
496,Philips,https://static.ambitionbox.com/alpha/company/photos/logos/philips.jpg,Consumer Electronics & Appliances,Bangalore / Bengaluru ,84,['Work Life Balance'],['Promotions / Appraisal'],3.8,0,161,0,78
497,Dr Lal PathLabs,https://static.ambitionbox.com/alpha/company/photos/logos/dr-lal-pathlabs.jpg,Healthcare,New Delhi ,168,"['Company Culture', 'Job Security', 'Skill Development / Learning']",[],4.2,0,134,0,50
498,Honeywell Automation,https://static.ambitionbox.com/alpha/company/photos/logos/honeywell-automation.jpg,Industrial Automation,Pune ,71,['Job Security'],"['Promotions / Appraisal', 'Salary & Benefits']",3.8,0,108,0,1
499,Nuvoco Vistas,https://static.ambitionbox.com/alpha/company/photos/logos/nuvoco-vistas-corp.jpg,Building Material,Kolkata ,165,"['Job Security', 'Skill Development / Learning', 'Salary & Benefits']",[],4.1,0,100,0,21
500,Safexpress,https://static.ambitionbox.com/alpha/company/photos/logos/safexpress-pvt.jpg,Logistics,New Delhi ,145,"['Job Security', 'Company Culture', 'Work Life Balance']","['Promotions / Appraisal', 'Salary & Benefits']",4.0,0,109,0,0
501,Angel One,https://static.ambitionbox.com/alpha/company/photos/logos/angel-one.jpg,FinTech,Mumbai ,120,"['Company Culture', 'Work Life Balance', 'Job Security']",[],4.0,0,143,0,26
502,TVS Sundram Fasteners,https://static.ambitionbox.com/alpha/company/photos/logos/tvs-sundram-fasteners-ltd.jpg,Auto Components,Chennai ,54,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Company Culture']",3.7,0,74,0,0
503,Vedantu,https://static.ambitionbox.com/alpha/company/photos/logos/vedantu-613121.jpg,EdTech,Bangalore / Bengaluru ,64,[],"['Job Security', 'Promotions / Appraisal', 'Work Satisfaction']",3.3,0,185,0,3
504,AXA Business Services,https://static.ambitionbox.com/alpha/company/photos/logos/axa-business-services.jpg,Insurance,Pune ,10,"['Job Security', 'Work Life Balance', 'Company Culture']","['Promotions / Appraisal', 'Salary & Benefits']",3.9,0,85,0,8
505,Narayana Health,https://static.ambitionbox.com/alpha/company/photos/logos/narayana-health.jpg,Healthcare,Bangalore / Bengaluru ,60,"['Job Security', 'Work Life Balance', 'Skill Development / Learning']",[],4.1,0,70,0,75
506,Biological E,https://static.ambitionbox.com/alpha/company/photos/logos/biological-e.jpg,Pharma,Hyderabad / Secunderabad ,59,"['Job Security', 'Company Culture', 'Work Life Balance']",[],4.2,0,118,0,35
507,G R Infraprojects,https://static.ambitionbox.com/alpha/company/photos/logos/g-r-infraprojects.jpg,Engineering & Construction,Gurgaon / Gurugram ,144,"['Skill Development / Learning', 'Salary & Benefits', 'Company Culture']",[],4.1,0,140,0,13
508,Foxconn,https://static.ambitionbox.com/alpha/company/photos/logos/foxconn.jpg,Electronics Manufacturing,Chennai ,48,"['Job Security', 'Skill Development / Learning']",['Promotions / Appraisal'],3.9,0,168,0,48
509,Cafe Coffee Day,https://static.ambitionbox.com/alpha/company/photos/logos/cafe-coffee-day.jpg,Hospitality,Bangalore / Bengaluru ,99,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Company Culture']",3.7,0,65,0,22
510,Aragen Life Sciences,https://static.ambitionbox.com/alpha/company/photos/logos/gvk-bioscience.jpg,Clinical Research,Hyderabad / Secunderabad ,26,"['Job Security', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.0,0,108,0,58
511,Medi Assist India,https://static.ambitionbox.com/alpha/company/photos/logos/medi-assist-india.jpg,Insurance,Bangalore / Bengaluru ,59,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Work Satisfaction']",3.5,0,123,0,40
512,Honda Cars,https://static.ambitionbox.com/alpha/company/photos/logos/honda-cars.jpg,Automobile,Bhiwadi ,103,"['Company Culture', 'Work Life Balance', 'Job Security']",[],4.4,0,90,0,0
513,R.R. Donnelley,https://static.ambitionbox.com/alpha/company/photos/logos/rr-donnelley.jpg,Marketing & Advertising,Chennai ,20,"['Job Security', 'Company Culture']","['Promotions / Appraisal', 'Salary & Benefits']",3.9,0,110,0,12
514,NTPC,https://static.ambitionbox.com/alpha/company/photos/logos/ntpc.jpg,Power,New Delhi ,108,"['Skill Development / Learning', 'Company Culture', 'Work Life Balance']",[],4.2,0,160,0,0
515,Adecco Group,https://static.ambitionbox.com/alpha/company/photos/logos/adecco-group.jpg,Bangalore / Bengaluru +153 other locations,New Delhi ,108,[],"['Promotions / Appraisal', 'Job Security', 'Work Satisfaction']",3.7,0,99,0,18
516,GAO Tek,https://static.ambitionbox.com/alpha/company/photos/logos/gao-tek.jpg,Electrical Equipment,New York ,26,"['Skill Development / Learning', 'Work Life Balance', 'Company Culture']",['Salary & Benefits'],4.4,0,225,218,0
517,Iris Software,https://static.ambitionbox.com/alpha/company/photos/logos/iris-software.jpg,IT Services & Consulting,Noida ,21,"['Company Culture', 'Work Life Balance', 'Skill Development / Learning']",[],4.0,0,167,0,51
518,Globiva,https://static.ambitionbox.com/alpha/company/photos/logos/globiva.jpg,BPO,Gurgaon / Gurugram ,21,[],"['Promotions / Appraisal', 'Work Satisfaction', 'Job Security']",3.1,0,112,0,54
519,SS&C TECHNOLOGIES,https://static.ambitionbox.com/alpha/company/photos/logos/ss-and-c-technologies.jpg,IT Services & Consulting,Mumbai ,28,[],"['Promotions / Appraisal', 'Company Culture', 'Work Life Balance']",3.3,0,177,0,15
520,Trident Group,https://static.ambitionbox.com/alpha/company/photos/logos/trident-group.jpg,Fashion & Textile,Barnala ,54,['Salary & Benefits'],"['Job Security', 'Work Life Balance', 'Company Culture']",3.5,0,121,0,9
521,Indian Navy,https://static.ambitionbox.com/alpha/company/photos/logos/retired-from-indian-navy.jpg,Defence & Aerospace,Mumbai ,66,"['Job Security', 'Skill Development / Learning', 'Company Culture']",[],4.6,0,24,0,0
522,Fusion CX,https://static.ambitionbox.com/alpha/company/photos/logos/fusion-bpo-services.jpg,Kolkata +44 other locations,Mumbai ,66,[],"['Promotions / Appraisal', 'Job Security', 'Salary & Benefits']",3.5,0,108,0,38
523,MetLife,https://static.ambitionbox.com/alpha/company/photos/logos/metlife.jpg,Insurance,Noida ,40,"['Work Life Balance', 'Job Security', 'Company Culture']",[],4.2,0,92,0,111
524,V-Guard Industries,https://static.ambitionbox.com/alpha/company/photos/logos/v-guard-industries.jpg,Consumer Electronics & Appliances,Kochi ,145,"['Company Culture', 'Work Life Balance', 'Job Security']",[],4.4,0,69,0,24
525,NEC,https://static.ambitionbox.com/alpha/company/photos/logos/nec.jpg,IT Services & Consulting,Noida ,51,"['Work Life Balance', 'Company Culture', 'Skill Development / Learning']",[],4.4,0,70,0,4
526,CMS Infosystems,https://static.ambitionbox.com/alpha/company/photos/logos/cms-infosystems.jpg,Other,Mumbai ,183,[],"['Promotions / Appraisal', 'Company Culture', 'Work Satisfaction']",3.6,0,60,0,5
527,Tata Teleservices,https://static.ambitionbox.com/alpha/company/photos/logos/tata-teleservices.jpg,Telecom,Mumbai ,135,"['Work Life Balance', 'Company Culture', 'Skill Development / Learning']",['Promotions / Appraisal'],4.0,0,30,0,54
528,Innovsource Services,https://static.ambitionbox.com/alpha/company/photos/logos/innovsource-services.jpg,Recruitment,Mumbai ,215,['Work Life Balance'],['Promotions / Appraisal'],4.0,0,68,0,0
529,Altruist Technologies,https://static.ambitionbox.com/alpha/company/photos/logos/altruist.jpg,BPO,Bangalore / Bengaluru ,39,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Company Culture']",3.2,0,134,0,4
