,Name,Logo,Industry Type,Headquarters,No. of Locations,Highly Rated For,Critically Rated For,Rating,Review Count,Interview Count,Salaries Count,Job Count
316,Zomato,https://static.ambitionbox.com/alpha/company/photos/logos/zomato.jpg,Internet,Gurgaon / Gurugram ,199,['Salary & Benefits'],"['Job Security', 'Promotions / Appraisal']",3.8,0,320,0,0
317,Landmark Group,https://static.ambitionbox.com/alpha/company/photos/logos/landmark-group.jpg,Retail,Bangalore / Bengaluru ,154,"['Job Security', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.0,0,152,0,3
318,AGS Health,https://static.ambitionbox.com/alpha/company/photos/logos/ags-health.jpg,Analytics & KPO,Chennai ,49,"['Job Security', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.0,0,167,0,28
319,Sammaan Capital Limited,https://static.ambitionbox.com/alpha/company/photos/logos/indiabulls-home-loans.jpg,NBFC,New Delhi ,196,[],"['Promotions / Appraisal', 'Job Security']",3.7,0,105,0,23
320,IDFC FIRST Bharat,https://static.ambitionbox.com/alpha/company/photos/logos/idfc-first-bharat.jpg,Financial Services,Chennai ,337,"['Salary & Benefits', 'Company Culture', 'Job Security']",[],4.4,0,113,0,0
321,Blue Dart Express,https://static.ambitionbox.com/alpha/company/photos/logos/blue-dart-express.jpg,Logistics,Mumbai ,252,"['Job Security', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.0,0,104,0,5
322,BlackBuck,https://static.ambitionbox.com/alpha/company/photos/logos/blackbuck.jpg,Internet,Bangalore / Bengaluru ,338,[],"['Job Security', 'Promotions / Appraisal']",3.8,0,188,0,5
323,Fujitsu,https://static.ambitionbox.com/alpha/company/photos/logos/fujitsu.jpg,IT Services & Consulting,Pune ,36,"['Work Life Balance', 'Company Culture']",['Promotions / Appraisal'],3.8,0,191,0,16
324,DS Group,https://static.ambitionbox.com/alpha/company/photos/logos/ds-group.jpg,FMCG,Noida ,245,"['Work Life Balance', 'Job Security', 'Salary & Benefits']",['Promotions / Appraisal'],4.1,0,158,0,29
325,Paras Hospital,https://static.ambitionbox.com/alpha/company/photos/logos/paras-hospital.jpg,Healthcare,Patna ,53,"['Company Culture', 'Work Life Balance', 'Skill Development / Learning']",[],4.4,0,83,0,32
326,Yazaki,https://static.ambitionbox.com/alpha/company/photos/logos/yazaki.jpg,Auto Components,Pune ,81,[],['Promotions / Appraisal'],3.8,0,143,0,2
327,Shree Cement,https://static.ambitionbox.com/alpha/company/photos/logos/shree-cement.jpg,Building Material,Ajmer ,225,[],"['Promotions / Appraisal', 'Job Security', 'Company Culture']",3.8,0,166,0,0
